breakdown_type,group_value,source_scope,indicator,window_days,outcome_horizon,direction,cost_bps,n_events,raw_hit_rate,excess_hit_rate,excess_hit_ci_low,excess_hit_ci_high,avg_directional_return_pct,median_directional_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,avg_directional_excess_pct,median_directional_excess_pct,excess_profit_factor
direction,bear,all,author_net,1,1D,bear,0,16,0.5,0.5,0.27999563610326017,0.7200043638967398,0.0027767962873297067,-0.0002426431776720861,0.023306477355437352,-0.01775288478077794,1.3128276132717656,1.3128276132717656,0.004640747872553336,-6.96996331139843e-05,1.7328286102785284
direction,bear,all,author_net,1,20D,bear,0,14,0.42857142857142855,0.5714285714285714,0.3259064457965074,0.7861920109552588,-0.0061770316042495865,-0.017104271859456288,0.15683877304988392,-0.12843888509484971,1.221115964484287,0.9158369733632152,0.008741854672864932,0.015644115661362146,1.1565555136086039
direction,bear,all,author_net,1,5D,bear,0,15,0.4666666666666667,0.4666666666666667,0.24809535365737387,0.698830199745016,-0.007738428616925471,-0.007281995266703145,0.03834001756616266,-0.048057069027127586,0.7978018289987728,0.6980766003739262,-0.0010661644566273129,-0.0019309377287528573,0.9401693053354725
direction,bear,all,author_net,1,60D,bear,0,10,0.6,0.7,0.39677814746114537,0.8922087325936989,0.007754453170856546,0.05815400983880048,0.12890174658316592,-0.17396648694760752,0.7409573466985426,1.111436020047814,0.0310103409851194,0.06292645450989648,1.7316396178148257
direction,bear,all,author_net,1,90D,bear,0,8,1.0,1.0,0.6755924351161198,1.0,0.09826285759830211,0.07043500258519175,0.09826285759830211,,,,0.12767689849739325,0.09342940056872479,
direction,bear,all,author_net,3,1D,bear,0,34,0.4411764705882353,0.35294117647058826,0.21487920594879492,0.5208603688021826,-0.007424267400262974,-0.009022581341509794,0.022183274747119484,-0.03079864277977544,0.720267932120911,0.568632577990193,-0.007767139169500409,-0.0060900097004849,0.4988796134137067
direction,bear,all,author_net,3,20D,bear,0,28,0.25,0.35714285714285715,0.2070582950773768,0.5416969348557219,-0.058234982427358924,-0.03873046038651129,0.13673089741497294,-0.12322360904146953,1.1096160750246948,0.3698720250082316,-0.03600493350002411,-0.01833786129995052,0.49463658291561047
direction,bear,all,author_net,3,5D,bear,0,30,0.43333333333333335,0.5,0.33154125640533766,0.6684587435946623,-0.0252297119490809,-0.007047706228739514,0.03851756068601962,-0.07397762631709894,0.52066499837285,0.3981555869910029,-0.01933456839726191,-0.00018187897527427443,0.4404545897306744
direction,bear,all,author_net,3,60D,bear,0,22,0.4090909090909091,0.5909090909090909,0.3873481847631513,0.7674418380352814,-0.06886688596294771,-0.026931746984286353,0.10551818280086575,-0.18959501049174163,0.5565451460309495,0.38530048571373426,-0.016150825707137162,0.019023606362456813,0.7581534487791579
direction,bear,all,author_net,3,90D,bear,0,16,0.8125,0.9375,0.7167126242970107,0.9888806552353576,-0.05665468842402201,0.041385789459963906,0.08436827905781624,-0.6677542141786544,0.1263463071687091,0.5475006643977394,-0.019207634108077486,0.06670126366412171,0.8325242586948163
direction,bear,all,author_net,30,1D,bear,0,62,0.4838709677419355,0.5161290322580645,0.39447459605660673,0.6359014016175426,-0.0015279466413319234,0.0,0.015919560301023032,-0.019077316693109008,0.8344758624662031,0.8344758624662031,-0.000982077243391501,0.00122411115593285,0.881817816086854
